Number,Parents,bugpop,natpop,hatch date,eclosion date,death date,sex,cracked,lifespan,Dvpt.time,mathost
758,303,Leesburg,HomesteadBV,25-Jun,NA,29-Jun,NA,n,4,#VALUE!,K.elegans
759,303,Leesburg,Key_Largo,25-Jun,23-Jul,,M,n,-40718,28,K.elegans
760,303,Leesburg,HomesteadBV,26-Jun,21-Jul,,M,y,-40719,25,K.elegans
761,477,GainesvilleBV,GainesvilleGRT,25-Jun,31-Jul,,F,n,-40718,36,K.elegans
762,477,GainesvilleBV,GainesvilleGRT,25-Jun,3-Aug,,M,n,-40718,39,K.elegans
763,477,GainesvilleBV,GainesvilleGRT,25-Jun,30-Jul,,M,y,-40718,35,K.elegans
764,477,GainesvilleBV,Key_Largo,25-Jun,NA,29-Jun,NA,n,4,#VALUE!,K.elegans
765,477,GainesvilleBV,Plantation_Key,26-Jun,NA,1-Jul,NA,n,5,#VALUE!,K.elegans
766,477,GainesvilleBV,HomesteadBV,26-Jun,NA,1-Jul,NA,y,5,#VALUE!,K.elegans
767,350,HomesteadBV,Leesburg,26-Jun,28-Jul,,M,n,-40719,32,K.elegans
768,350,HomesteadBV,GainesvilleGRT,26-Jun,31-Jul,,F,n,-40719,35,K.elegans
769,350,HomesteadBV,Lake_Wales,26-Jun,26-Jul,,F,y,-40719,30,K.elegans
770,350,HomesteadBV,HomesteadBV,26-Jun,NA,30-Jun,NA,n,4,#VALUE!,K.elegans
771,350,HomesteadBV,Key_Largo,26-Jun,NA,30-Jun,NA,n,4,#VALUE!,K.elegans
772,350,HomesteadBV,Key_Largo,26-Jun,23-Jul,,M,y,-40719,27,K.elegans
773,310,Ft.Myers,Leesburg,26-Jun,30-Jul,,M,n,-40719,34,K.elegans
774,310,Ft.Myers,GainesvilleGRT,26-Jun,29-Jul,,M,n,-40719,33,K.elegans
775,310,Ft.Myers,GainesvilleGRT,26-Jun,26-Jul,,M,y,-40719,30,K.elegans
776,310,Ft.Myers,HomesteadBV,26-Jun,NA,30-Jun,NA,n,4,#VALUE!,K.elegans
777,310,Ft.Myers,Key_Largo,26-Jun,NA,30-Jun,NA,n,4,#VALUE!,K.elegans
778,310,Ft.Myers,Key_Largo,26-Jun,24-Jul,,M,y,-40719,28,K.elegans
779,299,Leesburg,Leesburg,26-Jun,26-Jul,,F,n,-40719,30,K.elegans
